Order ID,Order Date,Region,Category,Sub-Category,Segment,Quantity,Unit Price,Discount,Sales,Profit,Year,Month
ORD1,2021-07-07,South,Office Supplies,Binders,Corporate,1,73.06,0.2,58.45,11.14,2021,7
ORD2,2020-07-08,South,Office Supplies,Paper,Home Office,1,87.42,0.0,87.42,20.46,2020,7
ORD3,2018-05-23,Central,Furniture,Tables,Consumer,3,102.6,0.0,307.8,48.24,2018,5
ORD4,2018-10-22,East,Furniture,Furnishings,Consumer,4,111.93,0.3,313.4,39.7,2018,10
ORD5,2021-08-21,South,Furniture,Bookcases,Home Office,4,2.11,0.0,8.44,1.85,2021,8
ORD6,2022-07-30,East,Technology,Computers,Consumer,4,104.24,0.0,416.96,53.93,2022,7
ORD7,2022-01-24,West,Technology,Computers,Consumer,5,186.08,0.0,930.4,160.62,2022,1
ORD8,2018-12-04,South,Furniture,Tables,Consumer,4,66.14,0.3,185.19,50.64,2018,12
ORD9,2018-07-27,East,Furniture,Furnishings,Corporate,4,92.06,0.0,368.24,50.44,2018,7
ORD10,2019-04-17,South,Office Supplies,Binders,Home Office,2,42.52,0.1,76.54,10.31,2019,4
ORD11,2020-10-22,West,Office Supplies,Paper,Home Office,1,110.0,0.0,110.0,20.15,2020,10
ORD12,2018-05-09,West,Technology,Copiers,Corporate,2,134.73,0.2,215.57,27.26,2018,5
ORD13,2020-10-02,South,Furniture,Tables,Home Office,5,51.86,0.15,220.41,37.27,2020,10
ORD14,2020-03-18,Central,Office Supplies,Binders,Consumer,4,60.5,0.0,242.0,46.0,2020,3
ORD15,2022-09-07,East,Office Supplies,Paper,Consumer,5,122.62,0.0,613.1,144.66,2022,9
ORD16,2019-07-20,East,Technology,Copiers,Consumer,3,134.31,0.1,362.64,96.93,2019,7
ORD17,2022-08-08,Central,Technology,Computers,Home Office,1,80.97,0.15,68.82,16.24,2022,8
ORD18,2021-01-08,South,Technology,Accessories,Corporate,3,101.12,0.1,273.02,47.95,2021,1
ORD19,2020-09-01,South,Technology,Computers,Home Office,2,118.43,0.1,213.17,37.37,2020,9
ORD20,2018-10-08,Central,Office Supplies,Paper,Corporate,4,120.12,0.0,480.48,107.29,2018,10
ORD21,2021-03-02,South,Office Supplies,Storage,Corporate,1,61.63,0.15,52.39,12.28,2021,3
ORD22,2020-12-30,Central,Technology,Phones,Home Office,5,131.98,0.3,461.93,95.85,2020,12
ORD23,2019-07-29,East,Furniture,Tables,Consumer,4,69.04,0.3,193.31,34.41,2019,7
ORD24,2022-04-30,South,Office Supplies,Binders,Home Office,5,142.22,0.0,711.1,103.31,2022,4
ORD25,2018-08-10,South,Furniture,Chairs,Consumer,2,150.92,0.15,256.56,5.04,2018,8
ORD26,2021-07-23,South,Office Supplies,Paper,Home Office,5,114.16,0.0,570.8,118.43,2021,7
ORD27,2020-02-12,Central,Office Supplies,Art,Home Office,4,102.6,0.3,287.28,50.83,2020,2
ORD28,2020-10-11,West,Technology,Phones,Consumer,5,141.8,0.0,709.0,144.17,2020,10
ORD29,2019-12-26,South,Furniture,Furnishings,Corporate,5,71.04,0.0,355.2,78.4,2019,12
ORD30,2018-01-06,East,Furniture,Bookcases,Corporate,3,14.51,0.1,39.18,9.02,2018,1
ORD31,2018-05-01,South,Furniture,Chairs,Home Office,4,68.9,0.0,275.6,53.18,2018,5
ORD32,2022-09-11,Central,Office Supplies,Storage,Consumer,2,109.09,0.3,152.73,16.88,2022,9
ORD33,2018-05-26,West,Furniture,Bookcases,Home Office,3,101.62,0.0,304.86,78.37,2018,5
ORD34,2018-10-05,West,Office Supplies,Binders,Home Office,4,131.73,0.1,474.23,87.84,2018,10
ORD35,2018-07-23,South,Furniture,Bookcases,Corporate,1,109.2,0.2,87.36,14.21,2018,7
ORD36,2021-08-11,East,Technology,Phones,Consumer,3,40.58,0.15,103.48,25.23,2021,8
ORD37,2018-04-01,Central,Furniture,Chairs,Consumer,2,65.54,0.2,104.86,22.22,2018,4
ORD38,2018-04-20,South,Technology,Copiers,Home Office,1,89.17,0.3,62.42,16.03,2018,4
ORD39,2020-11-06,South,Furniture,Tables,Home Office,5,71.74,0.0,358.7,79.83,2020,11
ORD40,2018-10-07,South,Office Supplies,Art,Consumer,5,74.73,0.15,317.6,57.13,2018,10
ORD41,2018-11-03,West,Furniture,Chairs,Consumer,2,81.17,0.3,113.64,15.75,2018,11
ORD42,2021-04-10,South,Office Supplies,Paper,Consumer,4,133.68,0.0,534.72,138.12,2021,4
ORD43,2021-12-09,East,Technology,Copiers,Consumer,5,174.46,0.0,872.3,188.17,2021,12
ORD44,2020-11-02,South,Technology,Computers,Consumer,2,145.37,0.0,290.74,86.57,2020,11
ORD45,2021-04-30,Central,Furniture,Bookcases,Home Office,3,88.01,0.3,184.82,32.71,2021,4
ORD46,2021-11-10,Central,Technology,Accessories,Home Office,3,86.07,0.3,180.75,29.1,2021,11
ORD47,2021-12-19,West,Furniture,Tables,Corporate,4,98.48,0.0,393.92,99.52,2021,12
ORD48,2021-04-12,South,Office Supplies,Paper,Corporate,1,109.8,0.15,93.33,11.66,2021,4
ORD49,2020-09-19,East,Technology,Copiers,Home Office,2,108.97,0.0,217.94,47.65,2020,9
ORD50,2018-11-30,East,Furniture,Tables,Corporate,2,119.55,0.1,215.19,49.44,2018,11
ORD51,2019-02-14,East,Furniture,Tables,Consumer,2,103.24,0.1,185.83,14.69,2019,2
ORD52,2022-04-24,South,Technology,Accessories,Home Office,2,76.62,0.0,153.24,21.04,2022,4
ORD53,2020-07-27,West,Office Supplies,Art,Corporate,1,133.17,0.15,113.19,22.49,2020,7
ORD54,2018-01-30,West,Technology,Computers,Corporate,2,80.03,0.1,144.05,23.43,2018,1
ORD55,2018-07-09,East,Office Supplies,Binders,Home Office,5,145.01,0.0,725.05,118.02,2018,7
ORD56,2022-04-21,West,Technology,Accessories,Home Office,5,131.97,0.15,560.87,97.52,2022,4
ORD57,2019-11-04,West,Furniture,Furnishings,Home Office,3,136.35,0.1,368.14,86.22,2019,11
ORD58,2018-09-01,West,Furniture,Tables,Consumer,2,103.75,0.15,176.38,43.43,2018,9
ORD59,2018-10-15,South,Furniture,Bookcases,Corporate,3,88.98,0.3,186.86,42.13,2018,10
ORD60,2018-08-07,East,Furniture,Chairs,Corporate,1,20.6,0.15,17.51,3.08,2018,8
ORD61,2022-11-24,South,Furniture,Tables,Home Office,5,101.16,0.0,505.8,104.96,2022,11
ORD62,2019-06-11,Central,Office Supplies,Binders,Consumer,1,87.14,0.3,61.0,11.26,2019,6
ORD63,2018-09-12,West,Furniture,Furnishings,Corporate,1,117.53,0.2,94.02,23.06,2018,9
ORD64,2019-12-19,East,Office Supplies,Storage,Corporate,5,76.74,0.1,345.33,64.7,2019,12
ORD65,2021-06-05,South,Furniture,Furnishings,Corporate,5,102.51,0.15,435.67,99.3,2021,6
ORD66,2018-12-03,South,Furniture,Tables,Consumer,1,105.08,0.1,94.57,19.74,2018,12
ORD67,2022-10-28,Central,Office Supplies,Art,Home Office,3,151.86,0.1,410.02,90.0,2022,10
ORD68,2019-03-17,East,Technology,Phones,Corporate,1,106.37,0.0,106.37,22.52,2019,3
ORD69,2022-05-28,West,Technology,Phones,Corporate,1,74.25,0.0,74.25,17.19,2022,5
ORD70,2020-07-30,Central,Technology,Phones,Consumer,2,109.92,0.3,153.89,27.23,2020,7
ORD71,2021-10-26,East,Technology,Copiers,Consumer,5,118.73,0.15,504.6,62.74,2021,10
ORD72,2018-01-07,West,Technology,Computers,Corporate,3,44.5,0.0,133.5,24.66,2018,1
ORD73,2021-05-22,South,Furniture,Tables,Home Office,2,134.79,0.15,229.14,56.81,2021,5
ORD74,2019-01-20,Central,Office Supplies,Storage,Consumer,1,36.47,0.1,32.82,7.14,2019,1
ORD75,2021-03-09,West,Technology,Computers,Corporate,4,93.18,0.0,372.72,74.72,2021,3
ORD76,2021-09-14,South,Technology,Accessories,Home Office,4,76.81,0.2,245.79,46.04,2021,9
ORD77,2018-02-08,West,Office Supplies,Paper,Consumer,1,77.56,0.15,65.93,13.07,2018,2
ORD78,2021-05-30,East,Technology,Copiers,Home Office,2,73.35,0.3,102.69,21.1,2021,5
ORD79,2020-07-22,West,Furniture,Furnishings,Home Office,2,58.16,0.2,93.06,13.33,2020,7
ORD80,2018-03-09,South,Office Supplies,Binders,Corporate,5,101.73,0.15,432.35,61.91,2018,3
ORD81,2022-04-08,West,Office Supplies,Binders,Home Office,2,104.66,0.0,209.32,40.71,2022,4
ORD82,2019-09-03,South,Office Supplies,Paper,Consumer,2,106.38,0.3,148.93,29.77,2019,9
ORD83,2020-12-27,East,Office Supplies,Storage,Consumer,1,128.05,0.1,115.25,23.14,2020,12
ORD84,2019-07-12,West,Technology,Copiers,Consumer,4,90.23,0.15,306.78,45.32,2019,7
ORD85,2020-12-31,Central,Office Supplies,Binders,Consumer,4,73.34,0.2,234.69,56.83,2020,12
ORD86,2020-08-28,West,Furniture,Furnishings,Corporate,5,14.93,0.0,74.65,17.52,2020,8
ORD87,2019-03-16,Central,Technology,Copiers,Consumer,3,112.97,0.2,271.13,48.25,2019,3
ORD88,2020-10-29,Central,Furniture,Bookcases,Consumer,2,162.31,0.1,292.16,73.87,2020,10
ORD89,2018-01-31,East,Office Supplies,Binders,Consumer,2,81.47,0.1,146.65,19.21,2018,1
