Order ID,Order Date,Region,Category,Sub-Category,Segment,Quantity,Unit Price,Discount,Sales,Profit,Year,Month
ORD1,2021-07-07,South,Office Supplies,Binders,Corporate,1,73.06,0.2,58.45,11.14,2021.0,7.0
ORD2,2020-08-07,South,Office Supplies,Paper,Home Office,1,87.42,0.0,87.42,20.46,2020.0,8.0
ORD3,,Central,Furniture,Tables,Consumer,3,102.6,0.0,307.8,48.24,,
ORD4,,East,Furniture,Furnishings,Consumer,4,111.93,0.3,313.4,39.7,,
ORD5,,South,Furniture,Bookcases,Home Office,4,2.11,0.0,8.44,1.85,,
ORD6,,East,Technology,Computers,Consumer,4,104.24,0.0,416.96,53.93,,
ORD7,,West,Technology,Computers,Consumer,5,186.08,0.0,930.4,160.62,,
ORD8,2018-04-12,South,Furniture,Tables,Consumer,4,66.14,0.3,185.19,50.64,2018.0,4.0
ORD9,,East,Furniture,Furnishings,Corporate,4,92.06,0.0,368.24,50.44,,
ORD10,,South,Office Supplies,Binders,Home Office,2,42.52,0.1,76.54,10.31,,
ORD11,,West,Office Supplies,Paper,Home Office,1,110.0,0.0,110.0,20.15,,
ORD12,2018-09-05,West,Technology,Copiers,Corporate,2,134.73,0.2,215.57,27.26,2018.0,9.0
ORD13,2020-02-10,South,Furniture,Tables,Home Office,5,51.86,0.15,220.41,37.27,2020.0,2.0
ORD14,,Central,Office Supplies,Binders,Consumer,4,60.5,0.0,242.0,46.0,,
ORD15,2022-07-09,East,Office Supplies,Paper,Consumer,5,122.62,0.0,613.1,144.66,2022.0,7.0
ORD16,,East,Technology,Copiers,Consumer,3,134.31,0.1,362.64,96.93,,
ORD17,2022-08-08,Central,Technology,Computers,Home Office,1,80.97,0.15,68.82,16.24,2022.0,8.0
ORD18,2021-08-01,South,Technology,Accessories,Corporate,3,101.12,0.1,273.02,47.95,2021.0,8.0
ORD19,2020-01-09,South,Technology,Computers,Home Office,2,118.43,0.1,213.17,37.37,2020.0,1.0
ORD20,2018-08-10,Central,Office Supplies,Paper,Corporate,4,120.12,0.0,480.48,107.29,2018.0,8.0
ORD21,2021-02-03,South,Office Supplies,Storage,Corporate,1,61.63,0.15,52.39,12.28,2021.0,2.0
ORD22,,Central,Technology,Phones,Home Office,5,131.98,0.3,461.93,95.85,,
ORD23,,East,Furniture,Tables,Consumer,4,69.04,0.3,193.31,34.41,,
ORD24,,South,Office Supplies,Binders,Home Office,5,142.22,0.0,711.1,103.31,,
ORD25,2018-10-08,South,Furniture,Chairs,Consumer,2,150.92,0.15,256.56,5.04,2018.0,10.0
ORD26,,South,Office Supplies,Paper,Home Office,5,114.16,0.0,570.8,118.43,,
ORD27,2020-12-02,Central,Office Supplies,Art,Home Office,4,102.6,0.3,287.28,50.83,2020.0,12.0
ORD28,2020-11-10,West,Technology,Phones,Consumer,5,141.8,0.0,709.0,144.17,2020.0,11.0
ORD29,,South,Furniture,Furnishings,Corporate,5,71.04,0.0,355.2,78.4,,
ORD30,2018-06-01,East,Furniture,Bookcases,Corporate,3,14.51,0.1,39.18,9.02,2018.0,6.0
ORD31,2018-01-05,South,Furniture,Chairs,Home Office,4,68.9,0.0,275.6,53.18,2018.0,1.0
ORD32,2022-11-09,Central,Office Supplies,Storage,Consumer,2,109.09,0.3,152.73,16.88,2022.0,11.0
ORD33,,West,Furniture,Bookcases,Home Office,3,101.62,0.0,304.86,78.37,,
ORD34,2018-05-10,West,Office Supplies,Binders,Home Office,4,131.73,0.1,474.23,87.84,2018.0,5.0
ORD35,,South,Furniture,Bookcases,Corporate,1,109.2,0.2,87.36,14.21,,
ORD36,2021-11-08,East,Technology,Phones,Consumer,3,40.58,0.15,103.48,25.23,2021.0,11.0
ORD37,2018-01-04,Central,Furniture,Chairs,Consumer,2,65.54,0.2,104.86,22.22,2018.0,1.0
ORD38,,South,Technology,Copiers,Home Office,1,89.17,0.3,62.42,16.03,,
ORD39,2020-06-11,South,Furniture,Tables,Home Office,5,71.74,0.0,358.7,79.83,2020.0,6.0
ORD40,2018-07-10,South,Office Supplies,Art,Consumer,5,74.73,0.15,317.6,57.13,2018.0,7.0
ORD41,2018-03-11,West,Furniture,Chairs,Consumer,2,81.17,0.3,113.64,15.75,2018.0,3.0
ORD42,2021-10-04,South,Office Supplies,Paper,Consumer,4,133.68,0.0,534.72,138.12,2021.0,10.0
ORD43,2021-09-12,East,Technology,Copiers,Consumer,5,174.46,0.0,872.3,188.17,2021.0,9.0
ORD44,2020-02-11,South,Technology,Computers,Consumer,2,145.37,0.0,290.74,86.57,2020.0,2.0
ORD45,,Central,Furniture,Bookcases,Home Office,3,88.01,0.3,184.82,32.71,,
ORD46,2021-10-11,Central,Technology,Accessories,Home Office,3,86.07,0.3,180.75,29.1,2021.0,10.0
ORD47,,West,Furniture,Tables,Corporate,4,98.48,0.0,393.92,99.52,,
ORD48,2021-12-04,South,Office Supplies,Paper,Corporate,1,109.8,0.15,93.33,11.66,2021.0,12.0
ORD49,,East,Technology,Copiers,Home Office,2,108.97,0.0,217.94,47.65,,
ORD50,,East,Furniture,Tables,Corporate,2,119.55,0.1,215.19,49.44,,
ORD51,,East,Furniture,Tables,Consumer,2,103.24,0.1,185.83,14.69,,
ORD52,,South,Technology,Accessories,Home Office,2,76.62,0.0,153.24,21.04,,
ORD53,,West,Office Supplies,Art,Corporate,1,133.17,0.15,113.19,22.49,,
ORD54,,West,Technology,Computers,Corporate,2,80.03,0.1,144.05,23.43,,
ORD55,2018-09-07,East,Office Supplies,Binders,Home Office,5,145.01,0.0,725.05,118.02,2018.0,9.0
ORD56,,West,Technology,Accessories,Home Office,5,131.97,0.15,560.87,97.52,,
ORD57,2019-04-11,West,Furniture,Furnishings,Home Office,3,136.35,0.1,368.14,86.22,2019.0,4.0
ORD58,2018-01-09,West,Furniture,Tables,Consumer,2,103.75,0.15,176.38,43.43,2018.0,1.0
ORD59,,South,Furniture,Bookcases,Corporate,3,88.98,0.3,186.86,42.13,,
ORD60,2018-07-08,East,Furniture,Chairs,Corporate,1,20.6,0.15,17.51,3.08,2018.0,7.0
ORD61,,South,Furniture,Tables,Home Office,5,101.16,0.0,505.8,104.96,,
ORD62,2019-11-06,Central,Office Supplies,Binders,Consumer,1,87.14,0.3,61.0,11.26,2019.0,11.0
ORD63,2018-12-09,West,Furniture,Furnishings,Corporate,1,117.53,0.2,94.02,23.06,2018.0,12.0
ORD64,,East,Office Supplies,Storage,Corporate,5,76.74,0.1,345.33,64.7,,
ORD65,2021-05-06,South,Furniture,Furnishings,Corporate,5,102.51,0.15,435.67,99.3,2021.0,5.0
ORD66,2018-03-12,South,Furniture,Tables,Consumer,1,105.08,0.1,94.57,19.74,2018.0,3.0
ORD67,,Central,Office Supplies,Art,Home Office,3,151.86,0.1,410.02,90.0,,
ORD68,,East,Technology,Phones,Corporate,1,106.37,0.0,106.37,22.52,,
ORD69,,West,Technology,Phones,Corporate,1,74.25,0.0,74.25,17.19,,
ORD70,,Central,Technology,Phones,Consumer,2,109.92,0.3,153.89,27.23,,
ORD71,,East,Technology,Copiers,Consumer,5,118.73,0.15,504.6,62.74,,
ORD72,2018-07-01,West,Technology,Computers,Corporate,3,44.5,0.0,133.5,24.66,2018.0,7.0
ORD73,,South,Furniture,Tables,Home Office,2,134.79,0.15,229.14,56.81,,
ORD74,,Central,Office Supplies,Storage,Consumer,1,36.47,0.1,32.82,7.14,,
ORD75,2021-09-03,West,Technology,Computers,Corporate,4,93.18,0.0,372.72,74.72,2021.0,9.0
ORD76,,South,Technology,Accessories,Home Office,4,76.81,0.2,245.79,46.04,,
ORD77,2018-08-02,West,Office Supplies,Paper,Consumer,1,77.56,0.15,65.93,13.07,2018.0,8.0
ORD78,,East,Technology,Copiers,Home Office,2,73.35,0.3,102.69,21.1,,
ORD79,,West,Furniture,Furnishings,Home Office,2,58.16,0.2,93.06,13.33,,
ORD80,2018-09-03,South,Office Supplies,Binders,Corporate,5,101.73,0.15,432.35,61.91,2018.0,9.0
ORD81,2022-08-04,West,Office Supplies,Binders,Home Office,2,104.66,0.0,209.32,40.71,2022.0,8.0
ORD82,2019-03-09,South,Office Supplies,Paper,Consumer,2,106.38,0.3,148.93,29.77,2019.0,3.0
